"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crookstown, Cork West Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Croom, Limerick Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crosshaven, Cork City Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crossmolina, Mayo Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crumlin, D.M.R. Southern Division",90
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Crusheen, Clare Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Daingean, Laois/Offaly Division",9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Delvin, Westmeath Division",9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dingle, Kerry Division",19
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dolla, Tipperary Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Donegal Town, Donegal Division",34
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Doneraile, Cork North Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Donnybrook, D.M.R. South Central Division",45
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Douglas, Cork City Division",56
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dowra, Cavan/Monaghan Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drimoleague, Cork West Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drinagh, Cork West Division",0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drogheda, Louth Division",227
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drumad, Louth Division",7
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drumcollogher, Limerick Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drumlish, Roscommon/Longford Division",13
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Drumshambo, Sligo/Leitrim Division",10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dublin Airport, D.M.R. Northern Division",10
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Duleek, Meath Division",11
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dun Fionnachaid, Donegal Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dun Laoghaire, D.M.R. Eastern Division",102
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dunboyne, Meath Division",39
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Duncannon, Wexford Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dundalk, Louth Division",176
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dundrum, D.M.R. Eastern Division",82
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dungarvan, Waterford Division",69
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dunlavin, Wicklow Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dunleer, Louth Division",20
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dunmanway, Cork West Division",17
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dunmore East, Waterford Division",14
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dunmore, Galway Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Dunshaughlin, Meath Division",38
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Durrow, Laois/Offaly Division",4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Durrus, Cork West Division",1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Edenderry, Laois/Offaly Division",27
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Edgeworthstown, Roscommon/Longford Division",30
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Elphin, Roscommon/Longford Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Emly, Tipperary Division",2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Emyvale, Cavan/Monaghan Division",5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Enfield, Meath Division",3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Ennis, Clare Division",114
